maT,meT,miT
28.120408163265296,23.753061224489787,21.020408163265316
28.6530612244898,23.648979591836735,20.059183673469384
25.989795918367346,22.02244897959184,18.779591836734696
26.82244897959184,22.171428571428574,19.093877551020405
29.4,23.271428571428572,17.981632653061226
29.504081632653055,23.655102040816324,18.14489795918368
28.502040816326538,23.920408163265304,20.171428571428574
30.44897959183674,24.53877551020408,19.591836734693885
29.340816326530607,24.124489795918375,19.624489795918365
25.330612244897964,22.53061224489796,20.42448979591837
26.53469387755102,23.063265306122457,20.73877551020408
29.7265306122449,24.593877551020405,19.8734693877551
23.91224489795919,21.893877551020402,20.306122448979593
27.02448979591836,23.118367346938776,20.761224489795918
29.6,24.128571428571426,20.355102040816327
24.867346938775512,22.434693877551023,20.31224489795919
24.348979591836727,21.508163265306123,18.577551020408166
26.322448979591826,21.493877551020404,16.95102040816326
27.285714285714292,22.414285714285715,17.553061224489802
27.49183673469387,23.244897959183678,19.68979591836735
28.78775510204082,24.218367346938773,21.09591836734694
26.787755102040816,24.189795918367345,22.259183673469387
28.11836734693878,24.789795918367354,22.05102040816326
30.640816326530608,25.210204081632657,21.34285714285714
30.736734693877555,25.857142857142854,22.528571428571432
29.80000000000001,26.055102040816333,22.789795918367346
30.553061224489795,26.540816326530607,23.779591836734696
30.340816326530618,26.383673469387762,23.675510204081636
30.922448979591834,26.640816326530615,23.024489795918363
31.818367346938768,27.189795918367345,23.08163265306122
32.63877551020408,27.94081632653061,24.11836734693877
31.66734693877552,27.665306122448982,24.175510204081636
30.746938775510213,26.936734693877558,23.679591836734694
30.636734693877568,26.56122448979592,23.848979591836734
29.391836734693875,26.371428571428577,23.667346938775513
27.826530612244916,24.648979591836742,22.114285714285717
29.78775510204081,25.130612244897957,21.477551020408164
29.291836734693884,25.0938775510204,21.76938775510204
30.07755102040816,25.020408163265312,20.693877551020407
31.5469387755102,25.78979591836734,21.334693877551018
32.51020408163266,26.706122448979603,21.922448979591838
32.47959183673469,27.034693877551017,22.597959183673463
32.797959183673484,27.316326530612244,22.814285714285717
32.414285714285725,26.99591836734694,22.471428571428575
32.18367346938776,26.92244897959184,22.848979591836734
30.685714285714287,26.371428571428567,22.944897959183674
29.530612244897963,26.3530612244898,23.76530612244898
27.3469387755102,25.299999999999997,23.44285714285714
28.64897959183674,24.893877551020402,20.293877551020405
29.002040816326524,23.071428571428566,18.767346938775514
28.759183673469384,22.88775510204082,17.651020408163266
28.197959183673472,23.667346938775513,20.132653061224488
28.885714285714286,24.46326530612245,20.932653061224485
31.324489795918367,25.767346938775503,22.773469387755103
28.989795918367342,24.920408163265307,22.077551020408162
27.887755102040803,24.96122448979592,22.591836734693878
29.189795918367345,25.728571428571424,23.404081632653064
27.746938775510202,24.05102040816327,17.826530612244895
27.189795918367345,20.606122448979587,14.051020408163268
25.628571428571433,20.146938775510204,15.69591836734694
28.13877551020408,21.863265306122447,16.751020408163267
28.171428571428578,22.057142857142857,16.332653061224484
21.975510204081633,19.40816326530612,17.39183673469387
23.571428571428562,20.306122448979593,17.934693877551023
24.828571428571422,20.948979591836736,17.72448979591837
23.993877551020415,20.859183673469392,18.428571428571427
25.102040816326536,21.55918367346939,19.069387755102042
26.179591836734694,22.155102040816324,19.059183673469388
28.70612244897959,23.120408163265314,18.822448979591837
27.5938775510204,22.773469387755103,19.00816326530612
27.94693877551019,23.19795918367346,19.653061224489793
26.375510204081625,22.697959183673476,19.659183673469393
25.493877551020407,21.973469387755102,19.514285714285712
27.669387755102044,22.271428571428576,18.05714285714285
27.04897959183674,22.424489795918376,19.489795918367346
25.25714285714286,21.8061224489796,19.275510204081634
26.514285714285705,22.102040816326532,19.304081632653062
27.310204081632648,22.459183673469386,18.669387755102036
25.046938775510196,21.297959183673466,18.80816326530612
23.800000000000004,21.36122448979592,19.359183673469392
28.03469387755102,23.88163265306122,20.467346938775513
29.60408163265306,25.659183673469393,22.518367346938778
29.43877551020408,25.710204081632654,22.661224489795917
27.897959183673464,24.824489795918364,22.736734693877548
29.067346938775508,25.006122448979596,21.0734693877551
30.002040816326527,24.04285714285714,18.732653061224493
25.08163265306123,22.291836734693874,19.906122448979588
29.242857142857144,24.19591836734694,21.038775510204083
28.965306122448983,24.224489795918366,21.08163265306123
25.720408163265304,23.383673469387762,21.459183673469393
24.189795918367352,22.216326530612246,20.663265306122447
25.506122448979596,22.1265306122449,19.371428571428567
26.87755102040816,21.828571428571426,17.10816326530612
27.548979591836734,21.783673469387757,16.55102040816327
27.181632653061232,21.932653061224496,16.665306122448975
26.285714285714285,21.842857142857145,17.479591836734695
25.50408163265306,21.910204081632656,18.49795918367347
24.604081632653063,21.40408163265306,18.908163265306122
24.971428571428564,21.3265306122449,18.49387755102041
22.573469387755104,19.938775510204074,17.699999999999996
22.657142857142855,19.724489795918373,17.610204081632652
24.96326530612245,21.25714285714286,18.246938775510205
26.957142857142863,22.291836734693877,18.924489795918362
28.04489795918367,22.951020408163263,19.31632653061224
26.651020408163262,22.746938775510205,19.534693877551017
24.78163265306122,22.43469387755103,20.64285714285714
26.242857142857144,23.077551020408166,20.85306122448979
25.14897959183674,22.16122448979592,20.24897959183673
25.96122448979592,22.448979591836736,20.03469387755102
24.5795918367347,21.55714285714286,19.620408163265314
25.726530612244904,22.122448979591837,19.75510204081633
28.230612244897962,23.487755102040822,20.17551020408163
27.157142857142855,23.055102040816323,20.648979591836728
26.759183673469384,22.732653061224493,20.416326530612253
27.497959183673462,23.09591836734693,19.904081632653064
28.902040816326533,23.55918367346938,19.665306122448982
28.285714285714285,23.346938775510203,19.44285714285715
24.118367346938776,21.602040816326525,19.32448979591836
26.036734693877545,22.68775510204082,20.122448979591834
26.155102040816324,22.667346938775502,20.073469387755097
24.72040816326531,21.597959183673467,19.308163265306117
23.16530612244898,20.78979591836735,19.026530612244898
23.60816326530612,21.38163265306122,19.55714285714285
27.463265306122445,22.424489795918365,19.061224489795915
24.469387755102044,22.536734693877545,20.895918367346944
26.19591836734694,23.614285714285717,21.559183673469384
25.569387755102028,22.77959183673469,20.730612244897962
25.140816326530608,22.28367346938776,20.132653061224485
27.224489795918366,24.518367346938778,21.246938775510202
26.94081632653061,24.075510204081628,21.44285714285714
29.016326530612243,23.814285714285717,19.69795918367347
29.702040816326523,24.648979591836742,20.120408163265306
26.528571428571432,24.140816326530608,21.202040816326527
26.861224489795923,22.824489795918364,19.669387755102047
24.536734693877545,21.589795918367344,19.46122448979592
