SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.002600 0.600000 0.030000 0.002600 40.000000 15.000000 6.400000 -999.000000 12.500000 340.000000 56.000000 -999.000000 
0.002400 0.600000 0.030000 0.002100 23.000000 16.000000 6.700000 -999.000000 10.900000 340.000000 60.000000 -999.000000 
0.003100 0.700000 0.028000 0.003800 23.000000 10.000000 6.500000 -999.000000 9.800000 340.000000 56.000000 -999.000000 
0.003800 0.800000 0.025000 0.006100 32.000000 11.000000 6.500000 -999.000000 10.800000 360.000000 59.000000 -999.000000 
0.003400 0.800000 0.025000 0.005500 47.000000 21.000000 6.200000 -999.000000 9.500000 340.000000 56.000000 -999.000000 
0.003200 0.700000 0.025000 0.004900 49.000000 16.000000 6.400000 -999.000000 8.900000 360.000000 64.000000 -999.000000 
0.003200 0.700000 0.025000 0.005000 42.000000 14.000000 5.900000 -999.000000 8.700000 360.000000 58.000000 -999.000000 
0.003300 0.800000 0.024000 0.005100 50.000000 16.000000 5.900000 -999.000000 7.000000 360.000000 61.000000 -999.000000 
0.003200 0.700000 0.025000 0.004900 53.000000 16.000000 5.800000 -999.000000 8.100000 360.000000 59.000000 -999.000000 
0.003000 0.700000 0.026000 0.004800 35.000000 18.000000 6.000000 -999.000000 8.100000 360.000000 58.000000 -999.000000 
0.003200 0.700000 0.026000 0.004400 49.000000 17.000000 6.200000 -999.000000 8.000000 360.000000 53.000000 -999.000000 
0.003200 0.700000 0.027000 0.004400 45.000000 14.000000 6.800000 -999.000000 6.900000 360.000000 52.000000 -999.000000 
0.003500 0.800000 0.029000 0.005900 41.000000 20.000000 6.800000 -999.000000 7.300000 360.000000 58.000000 -999.000000 
0.003600 0.800000 0.029000 0.005700 85.000000 47.000000 6.600000 -999.000000 6.800000 360.000000 61.000000 -999.000000 
0.003600 0.800000 0.031000 0.005400 55.000000 28.000000 8.200000 -999.000000 7.900000 340.000000 51.000000 -999.000000 
0.003000 0.700000 0.031000 0.004200 54.000000 23.000000 8.300000 -999.000000 9.200000 340.000000 52.000000 -999.000000 
0.002500 0.600000 0.031000 0.003300 40.000000 17.000000 6.900000 -999.000000 8.900000 360.000000 54.000000 -999.000000 
0.002500 0.600000 0.032000 0.003600 24.000000 6.000000 6.400000 -999.000000 7.700000 360.000000 56.000000 -999.000000 
0.002700 0.700000 0.032000 0.004500 25.000000 9.000000 6.300000 -999.000000 6.500000 360.000000 60.000000 -999.000000 
0.002900 0.700000 0.031000 0.004900 45.000000 16.000000 6.200000 -999.000000 6.300000 360.000000 58.000000 -999.000000 
0.003000 0.700000 0.031000 0.005300 42.000000 23.000000 5.900000 -999.000000 5.400000 20.000000 60.000000 -999.000000 
0.003100 0.800000 0.030000 0.005700 44.000000 22.000000 5.200000 -999.000000 5.100000 50.000000 58.000000 -999.000000 
0.003300 0.800000 0.030000 0.006100 39.000000 27.000000 4.400000 -999.000000 5.000000 70.000000 63.000000 -999.000000 
0.003200 0.800000 0.030000 0.005700 54.000000 26.000000 4.000000 -999.000000 5.500000 70.000000 65.000000 -999.000000 
0.003000 0.800000 0.030000 0.005200 47.000000 25.000000 3.900000 -999.000000 6.200000 70.000000 64.000000 -999.000000 
0.002400 0.700000 0.030000 0.004100 43.000000 25.000000 4.400000 -999.000000 5.800000 50.000000 61.000000 -999.000000 
0.002800 0.800000 0.028000 0.004800 48.000000 19.000000 4.000000 -999.000000 5.700000 70.000000 62.000000 -999.000000 
0.002600 0.800000 0.028000 0.004100 37.000000 21.000000 4.000000 -999.000000 5.500000 70.000000 60.000000 -999.000000 
0.003200 0.900000 0.024000 0.005600 40.000000 15.000000 5.000000 -999.000000 6.700000 50.000000 55.000000 -999.000000 
0.003000 0.700000 0.025000 0.004400 55.000000 28.000000 4.400000 -999.000000 5.200000 70.000000 56.000000 -999.000000 
0.002900 0.700000 0.027000 0.003300 30.000000 19.000000 5.300000 -999.000000 5.600000 50.000000 53.000000 -999.000000 
0.002500 0.600000 0.029000 0.002400 38.000000 12.000000 4.800000 -999.000000 5.800000 50.000000 57.000000 -999.000000 
0.002400 0.600000 0.028000 0.002600 21.000000 12.000000 4.600000 -999.000000 6.800000 70.000000 54.000000 -999.000000 
0.002400 0.600000 0.027000 0.002800 19.000000 10.000000 6.100000 -999.000000 6.000000 70.000000 49.000000 -999.000000 
