SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.001200 0.200000 0.037000 0.001100 -999.000000 8.000000 0.600000 -999.000000 1.600000 320.000000 30.000000 0.000000 
0.001200 0.200000 0.037000 0.001500 -999.000000 14.000000 0.800000 -999.000000 4.000000 290.000000 34.000000 -999.000000 
0.001200 0.200000 0.037000 0.001600 -999.000000 12.000000 0.400000 -999.000000 2.000000 360.000000 37.000000 -999.000000 
0.001200 0.200000 0.036000 0.001400 -999.000000 7.000000 0.200000 -999.000000 2.800000 360.000000 42.000000 0.000000 
0.001200 0.200000 0.035000 0.001300 -999.000000 10.000000 0.100000 -999.000000 3.500000 340.000000 41.000000 0.000000 
0.001200 0.200000 0.035000 0.001500 -999.000000 10.000000 0.100000 -999.000000 5.300000 320.000000 39.000000 0.000000 
0.001300 0.200000 0.034000 0.001400 -999.000000 11.000000 0.100000 -999.000000 7.000000 320.000000 38.000000 0.000000 
0.001200 0.200000 0.035000 0.001600 -999.000000 12.000000 -0.100000 -999.000000 4.400000 320.000000 39.000000 0.000000 
0.001200 0.200000 0.035000 0.001600 -999.000000 7.000000 -0.100000 -999.000000 1.700000 360.000000 39.000000 0.000000 
0.001300 0.200000 0.035000 0.001600 -999.000000 12.000000 0.900000 -999.000000 2.400000 360.000000 34.000000 0.000000 
0.001300 0.200000 0.035000 0.001500 -999.000000 12.000000 1.700000 -999.000000 4.200000 340.000000 30.000000 0.000000 
0.001300 0.200000 0.035000 0.001600 -999.000000 10.000000 3.000000 -999.000000 4.400000 320.000000 25.000000 0.000000 
0.001400 0.200000 0.036000 0.001500 -999.000000 11.000000 3.900000 -999.000000 5.200000 290.000000 21.000000 0.000000 
0.001400 0.200000 0.037000 0.001300 -999.000000 14.000000 4.700000 -999.000000 4.100000 320.000000 20.000000 0.000000 
0.001300 0.200000 0.038000 0.001800 -999.000000 11.000000 5.100000 -999.000000 3.800000 290.000000 18.000000 0.000000 
0.001400 0.200000 0.039000 0.001500 -999.000000 12.000000 5.000000 -999.000000 4.600000 320.000000 17.000000 0.000000 
0.001300 0.200000 0.040000 0.001700 -999.000000 12.000000 5.500000 -999.000000 1.700000 320.000000 17.000000 0.000000 
0.001200 0.200000 0.040000 0.001600 -999.000000 16.000000 4.300000 -999.000000 3.100000 290.000000 21.000000 0.000000 
0.001400 0.200000 0.040000 0.001100 -999.000000 14.000000 3.500000 -999.000000 2.100000 290.000000 26.000000 0.000000 
0.001500 0.200000 0.039000 0.001500 -999.000000 15.000000 3.000000 -999.000000 2.000000 290.000000 28.000000 -999.000000 
0.001400 0.200000 0.038000 0.001100 -999.000000 19.000000 2.800000 -999.000000 2.600000 290.000000 31.000000 -999.000000 
