11.5,,-45.5,-79.5,110,36
12.2,,,,100,43
12.4,,-45.5,-79.5,,
12.6,,,,90,37
12.9,,,,110,32
13.6,,,,95,39
15.8,,,,90,37
16.3,,,,115,40
16.7,,,,90,39
17.5,,,,75,32
18.4,,,,90,37
20,26800,-50.1,-83.1,85,33
20.4,,,,85,33
21,,,,110,35
21.5,,,,85,33
22.2,,,,75,31
24.6,,,,95,31
30,24170,-53.3,-85.3,75,34
30.3,,,,75,33
32.2,,,,95,34
34.1,,,,80,29
34.9,,-57.5,-87.5,,
41.1,,,,85,30
43,,,,65,31
48.1,,,,95,28
50,20950,-61.5,-89.5,90,32
50.3,,,,85,32
59.5,,,,55,20
66,,,,65,24
69.1,,-66.3,-89.3,,
70,18890,-65.9,-88.9,50,22
70.3,,,,50,21
72.9,,,,65,20
76.9,,,,35,22
79.2,,,,45,21
80.5,,,,85,13
82.2,,,,40,22
89.1,,,,30,24
93.8,,,,15,10
100,16720,-65.7,-86.7,45,14
105,,-65.1,-86.1,,
106,,,,30,23
110,,,,5,13
122,,,,25,12
142,,,,295,7
148,,,,325,14
150,14230,-61.9,-77.9,310,17
155,,,,270,28
157,,-61.9,-76.9,265,31
160,,,,260,33
191,,,,245,19
198,,,,210,29
199,,-54.1,-59.1,,
200,12420,-53.9,-58.9,220,22
202,,,,230,18
209,,,,240,16
227,,,,205,10
250,10950,-41.3,-46.3,240,5
277,,,,250,11
282,,,,240,13
285,,-33.5,-37.6,,
288,,,,195,20
298,,,,225,4
300,9690,-30.7,-34.9,190,4
332,,,,175,12
344,,,,185,10
362,,-20.5,-23.6,,
368,,,,155,10
400,7580,-16.1,-18.5,10,2
500,5860,-5.3,-9.7,170,2
503,,,,185,1
506,,,,340,1
516,,-3.9,-8.3,,
600,,,,40,4
638,,,,15,1
643,,,,170,1
700,3149,7.4,4.4,140,4
733,,9.2,6.9,,
800,,,,105,9
850,1517,18.4,10.4,105,5
900,,,,95,3
915,,23.2,13.2,,
925,784,23.2,14.2,175,4
957,,24.8,14.8,,
1000,101,23.6,17.6,55,3
1004,,24,20.8,35,3
