400,37.5134,127.0467
401,37.4846,127.026
402,37.5555,127.145
403,37.5115,127.0967
404,37.5739,126.8295
405,37.5296,126.8782
406,37.6661,127.0295
407,37.6219,127.0919
408,37.5846,127.0604
409,37.5855,127.0868
410,37.4937,126.9181
411,37.5517,126.9292
412,37.5705,126.9408
413,37.5338,127.0857
414,37.6117,126.9994
415,37.5204,126.9761
416,37.6464,126.9434
417,37.4655,126.9002
418,37.5249,126.9391
419,37.5524,126.9874
421,37.5472,127.0389
422,37.6034,126.9844
423,37.494,126.827
424,37.6397,127.0258
425,37.4634,126.9855
509,37.4528,126.9502
510,37.5271,126.9071
889,37.5004,126.9765
