9.2,,-41.3,-76.3,100,37
10,31410,-40.7,-76.7,90,34
10.2,,,,90,30
10.6,,,,110,36
10.9,,-40.9,-76.9,,
11,,,,100,42
11.8,,,,90,40
12.5,,,,105,41
12.6,,-46.1,-80.1,,
13.2,,,,85,42
13.6,,,,115,37
14.4,,,,90,35
15.4,,,,85,38
15.8,,,,95,39
16,,,,120,40
16.5,,,,85,34
17.4,,,,90,32
18.9,,-47.1,-81.1,,
20,26780,-48.7,-81.7,90,39
22.1,,,,80,42
24.6,,,,70,28
25.5,,,,70,39
26.4,,,,90,36
30,24170,-56.9,-86.9,75,33
30.3,,,,75,30
31.5,,-58.1,-88.1,,
32,,,,110,31
33.6,,,,85,31
41.4,,,,90,30
42.6,,-57.3,-87.3,,
42.9,,,,90,18
43.4,,,,100,24
45.6,,,,80,29
47,,,,90,30
48,,,,70,32
50,20950,-61.1,-90.1,80,21
50.4,,,,80,20
53.8,,-63.1,-92.1,,
55.5,,,,65,31
58.1,,,,75,32
61.3,,,,80,26
65.9,,,,55,30
70,18880,-65.1,-93.1,65,22
72,,,,60,22
73.8,,,,75,18
80.7,,-66.7,-93.7,,
82.2,,,,80,20
91.6,,,,45,20
100,16720,-66.5,-94.5,55,20
102,,,,65,21
105,,-66.1,-94.1,,
113,,,,35,24
122,,,,35,15
126,,,,55,10
134,,,,45,10
146,,,,320,6
147,,-63.9,-91.9,300,8
150,14240,-63.3,-92.3,300,11
152,,,,285,16
160,,,,270,26
193,,,,255,48
200,12440,-54.1,-66.1,255,46
201,,-54.1,-66.1,,
213,,,,245,42
233,,-45.5,-59.5,,
235,,,,250,13
240,,,,195,11
247,,,,140,6
250,10960,-41.9,-54.9,115,7
260,,,,90,11
264,,,,100,10
268,,,,75,10
285,,,,90,10
298,,,,65,11
300,9700,-31.1,-37.1,65,12
302,,-30.7,-36.7,,
319,,,,85,10
330,,,,65,10
365,,,,85,18
374,,,,70,21
382,,-16.9,-30.9,,
386,,,,75,22
400,7590,-14.9,-21.9,60,15
403,,,,60,14
419,,-12.7,-16.8,,
427,,,,95,15
442,,,,80,11
453,,-9.1,-13.6,,
466,,,,90,13
500,5870,-5.7,-11.7,60,9
505,,,,50,10
564,,,,30,11
593,,2.8,-1.3,,
600,,,,35,10
699,,7.2,6.3,,
700,3155,7.4,6.4,35,5
800,,,,100,4
850,1522,18.4,13.4,135,7
862,,19.4,14.4,,
883,,19.4,16.3,,
900,,,,185,5
925,791,22.4,14.4,180,3
937,,23.2,14.2,,
974,,23.4,17.4,,
1000,108,25.8,17.8,90,5
1005,,27.2,21.2,145,1
