SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.002000 0.900000 0.001000 0.011000 68.000000 50.000000 1.300000 -999.000000 0.900000 290.000000 81.000000 8.000000 
0.002000 0.800000 0.001000 0.010000 66.000000 46.000000 1.000000 -999.000000 0.400000 0.000000 84.000000 -999.000000 
0.002000 0.800000 0.001000 0.010000 64.000000 50.000000 1.000000 -999.000000 0.400000 0.000000 84.000000 -999.000000 
0.002000 0.900000 0.001000 0.008000 59.000000 54.000000 0.500000 -999.000000 0.300000 0.000000 87.000000 2.000000 
0.002000 0.900000 0.001000 0.008000 59.000000 48.000000 -0.400000 -999.000000 0.200000 0.000000 90.000000 0.000000 
0.002000 0.900000 0.001000 0.007000 60.000000 47.000000 -0.900000 -999.000000 1.000000 250.000000 89.000000 0.000000 
0.002000 0.900000 0.001000 0.007000 60.000000 54.000000 -1.400000 -999.000000 0.800000 230.000000 93.000000 0.000000 
0.002000 0.900000 0.001000 0.007000 58.000000 54.000000 -1.300000 -999.000000 0.700000 70.000000 94.000000 0.000000 
0.002000 1.000000 0.002000 0.009000 58.000000 48.000000 -1.100000 -999.000000 0.200000 0.000000 92.000000 2.000000 
0.002000 1.000000 0.002000 0.011000 61.000000 49.000000 0.000000 -999.000000 0.200000 0.000000 89.000000 0.000000 
0.002000 1.000000 0.002000 0.014000 64.000000 56.000000 1.000000 -999.000000 1.400000 250.000000 82.000000 3.000000 
0.003000 1.000000 0.004000 0.016000 75.000000 56.000000 2.200000 -999.000000 0.900000 230.000000 76.000000 7.000000 
0.003000 0.800000 0.009000 0.014000 75.000000 59.000000 3.900000 -999.000000 1.000000 200.000000 68.000000 8.000000 
0.003000 0.400000 0.024000 0.007000 67.000000 51.000000 6.200000 -999.000000 1.200000 180.000000 55.000000 3.000000 
0.003000 0.400000 0.031000 0.004000 49.000000 37.000000 7.600000 -999.000000 2.200000 250.000000 52.000000 4.000000 
0.002000 0.300000 0.033000 0.004000 37.000000 28.000000 7.300000 -999.000000 1.600000 250.000000 50.000000 7.000000 
0.002000 0.300000 0.032000 0.004000 37.000000 26.000000 7.200000 -999.000000 1.900000 230.000000 55.000000 6.000000 
0.002000 0.400000 0.025000 0.009000 38.000000 31.000000 6.100000 -999.000000 2.200000 230.000000 59.000000 6.000000 
0.002000 0.400000 0.019000 0.013000 46.000000 37.000000 5.100000 -999.000000 1.800000 230.000000 64.000000 6.000000 
0.002000 0.400000 0.018000 0.011000 51.000000 30.000000 4.800000 -999.000000 0.700000 180.000000 67.000000 -999.000000 
0.002000 0.400000 0.016000 0.014000 50.000000 45.000000 5.000000 -999.000000 1.500000 270.000000 67.000000 -999.000000 
0.002000 0.500000 0.010000 0.018000 48.000000 34.000000 5.200000 -999.000000 1.100000 200.000000 66.000000 9.000000 
0.002000 0.500000 0.012000 0.017000 48.000000 36.000000 5.100000 -999.000000 1.200000 200.000000 67.000000 -999.000000 
0.002000 0.400000 0.020000 0.010000 39.000000 33.000000 5.200000 -999.000000 1.100000 230.000000 66.000000 -999.000000 
0.002000 0.400000 0.023000 0.009000 32.000000 24.000000 4.800000 -999.000000 0.700000 90.000000 68.000000 9.000000 
0.002000 0.400000 0.026000 0.007000 27.000000 22.000000 4.400000 -999.000000 1.200000 110.000000 70.000000 -999.000000 
0.002000 0.400000 0.024000 0.006000 29.000000 20.000000 3.700000 -999.000000 0.600000 270.000000 76.000000 -999.000000 
0.002000 0.400000 0.028000 0.004000 34.000000 19.000000 2.800000 -999.000000 0.200000 0.000000 83.000000 6.000000 
0.003000 0.400000 0.023000 0.008000 33.000000 28.000000 2.500000 -999.000000 0.500000 20.000000 80.000000 2.000000 
0.002000 0.400000 0.018000 0.010000 29.000000 26.000000 2.200000 -999.000000 0.000000 0.000000 87.000000 0.000000 
0.002000 0.500000 0.016000 0.010000 36.000000 24.000000 1.700000 -999.000000 0.300000 0.000000 87.000000 0.000000 
0.002000 0.500000 0.006000 0.017000 36.000000 24.000000 1.500000 -999.000000 0.100000 0.000000 88.000000 3.000000 
