SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.004000 0.600000 0.002000 0.038000 82.000000 60.000000 -1.000000 -999.000000 0.100000 0.000000 80.000000 0.000000 
0.003000 0.600000 0.002000 0.037000 76.000000 65.000000 -1.600000 -999.000000 0.600000 290.000000 80.000000 -999.000000 
0.003000 0.700000 0.002000 0.034000 76.000000 -999.000000 -1.900000 -999.000000 0.300000 0.000000 84.000000 -999.000000 
0.004000 0.700000 0.002000 0.033000 74.000000 63.000000 -2.500000 -999.000000 0.100000 0.000000 86.000000 0.000000 
0.003000 0.700000 0.002000 0.030000 80.000000 61.000000 -3.000000 -999.000000 0.500000 20.000000 90.000000 0.000000 
0.003000 0.700000 0.002000 0.030000 84.000000 64.000000 -2.700000 -999.000000 0.700000 340.000000 88.000000 0.000000 
0.003000 0.700000 0.002000 0.026000 86.000000 65.000000 -3.200000 -999.000000 0.600000 320.000000 91.000000 0.000000 
0.003000 0.700000 0.002000 0.028000 76.000000 55.000000 -3.500000 -999.000000 0.200000 0.000000 90.000000 0.000000 
0.005000 0.700000 0.003000 0.029000 78.000000 60.000000 -3.400000 -999.000000 0.400000 0.000000 91.000000 0.000000 
0.008000 0.800000 0.005000 0.034000 76.000000 54.000000 -1.600000 -999.000000 0.600000 320.000000 86.000000 0.000000 
0.007000 0.500000 0.019000 0.023000 86.000000 63.000000 0.300000 -999.000000 0.500000 50.000000 79.000000 0.000000 
0.005000 0.300000 0.031000 0.011000 66.000000 52.000000 3.900000 -999.000000 2.700000 270.000000 62.000000 0.000000 
0.005000 0.300000 0.030000 0.013000 52.000000 39.000000 5.700000 -999.000000 2.900000 270.000000 55.000000 1.000000 
0.004000 0.300000 0.032000 0.011000 66.000000 39.000000 5.900000 -999.000000 2.900000 270.000000 50.000000 2.000000 
0.005000 0.300000 0.033000 0.012000 60.000000 45.000000 6.900000 -999.000000 3.400000 270.000000 46.000000 2.000000 
0.005000 0.300000 0.033000 0.012000 56.000000 42.000000 7.300000 -999.000000 2.800000 270.000000 46.000000 3.000000 
0.005000 0.300000 0.030000 0.015000 54.000000 42.000000 7.200000 -999.000000 2.000000 270.000000 47.000000 4.000000 
0.006000 0.500000 0.012000 0.036000 58.000000 40.000000 6.800000 -999.000000 1.600000 270.000000 49.000000 6.000000 
0.006000 0.600000 0.004000 0.043000 70.000000 47.000000 5.900000 -999.000000 1.400000 290.000000 53.000000 5.000000 
0.005000 0.600000 0.004000 0.041000 68.000000 47.000000 4.800000 -999.000000 0.700000 290.000000 57.000000 -999.000000 
0.006000 0.600000 0.006000 0.036000 68.000000 46.000000 3.100000 -999.000000 0.500000 200.000000 65.000000 -999.000000 
0.005000 0.600000 0.003000 0.038000 62.000000 43.000000 2.100000 -999.000000 0.100000 0.000000 69.000000 0.000000 
0.004000 0.600000 0.004000 0.036000 66.000000 45.000000 0.700000 -999.000000 0.100000 0.000000 78.000000 -999.000000 
0.003000 0.500000 0.006000 0.028000 56.000000 40.000000 0.300000 -999.000000 0.000000 0.000000 77.000000 -999.000000 
0.002000 0.300000 0.010000 0.021000 56.000000 36.000000 -0.100000 -999.000000 0.600000 320.000000 78.000000 7.000000 
0.002000 0.500000 0.005000 0.026000 48.000000 39.000000 -0.400000 -999.000000 0.800000 320.000000 81.000000 -999.000000 
0.003000 0.500000 0.003000 0.028000 56.000000 39.000000 -0.700000 -999.000000 0.200000 0.000000 82.000000 -999.000000 
0.003000 0.500000 0.002000 0.029000 56.000000 44.000000 -0.700000 -999.000000 0.200000 0.000000 83.000000 7.000000 
0.003000 0.500000 0.002000 0.027000 64.000000 46.000000 -0.600000 -999.000000 0.300000 0.000000 84.000000 6.000000 
0.003000 0.500000 0.002000 0.027000 58.000000 42.000000 -1.400000 -999.000000 0.200000 0.000000 86.000000 3.000000 
