SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.001300 0.200000 0.032000 0.000500 22.000000 -999.000000 1.700000 -999.000000 1.400000 320.000000 62.000000 0.000000 
0.002000 0.300000 0.045000 0.001200 22.000000 -999.000000 0.400000 -999.000000 1.400000 290.000000 69.000000 -999.000000 
0.001800 0.300000 0.044000 0.001200 18.000000 -999.000000 -0.100000 -999.000000 1.100000 270.000000 71.000000 -999.000000 
0.001800 0.300000 0.044000 0.001200 18.000000 -999.000000 0.000000 -999.000000 1.400000 320.000000 69.000000 0.000000 
0.001800 0.300000 0.042000 0.001600 16.000000 -999.000000 -0.700000 -999.000000 1.300000 290.000000 74.000000 0.000000 
0.001900 0.300000 0.041000 0.001900 17.000000 -999.000000 -0.400000 -999.000000 2.400000 320.000000 70.000000 0.000000 
0.001900 0.300000 0.042000 0.002100 22.000000 -999.000000 -0.700000 -999.000000 0.800000 320.000000 72.000000 0.000000 
0.001800 0.300000 0.041000 0.002100 28.000000 -999.000000 -1.400000 -999.000000 1.400000 270.000000 78.000000 0.000000 
0.001800 0.300000 0.040000 0.002200 19.000000 -999.000000 -1.400000 -999.000000 0.900000 270.000000 77.000000 0.000000 
0.001800 0.300000 0.042000 0.002300 30.000000 -999.000000 1.200000 -999.000000 0.700000 250.000000 69.000000 0.000000 
0.001800 0.300000 0.042000 0.000200 25.000000 -999.000000 3.700000 -999.000000 1.200000 230.000000 53.000000 0.000000 
0.001700 0.300000 0.044000 0.001800 28.000000 24.000000 5.900000 -999.000000 1.300000 250.000000 42.000000 0.000000 
0.001600 0.300000 0.047000 0.001500 22.000000 -999.000000 7.800000 -999.000000 1.700000 230.000000 31.000000 0.000000 
0.001600 0.200000 0.049000 0.000900 21.000000 -999.000000 9.500000 -999.000000 1.300000 160.000000 25.000000 0.000000 
0.001600 0.200000 0.050000 0.000900 22.000000 20.000000 11.200000 -999.000000 1.300000 290.000000 22.000000 0.000000 
0.001600 0.200000 0.046000 0.002300 19.000000 -999.000000 10.200000 -999.000000 2.400000 110.000000 29.000000 2.000000 
0.001700 0.200000 0.042000 0.003800 14.000000 -999.000000 9.600000 -999.000000 1.900000 90.000000 36.000000 3.000000 
0.001600 0.200000 0.046000 0.002500 14.000000 14.000000 9.200000 -999.000000 1.300000 360.000000 32.000000 5.000000 
0.001600 0.200000 0.045000 0.002100 19.000000 18.000000 7.700000 -999.000000 0.300000 0.000000 38.000000 5.000000 
0.001600 0.200000 0.048000 0.001500 31.000000 18.000000 6.100000 -999.000000 1.800000 290.000000 40.000000 -999.000000 
0.001600 0.200000 0.047000 0.001200 16.000000 14.000000 5.800000 -999.000000 2.200000 320.000000 39.000000 -999.000000 
0.001800 0.300000 0.045000 0.001600 18.000000 16.000000 4.100000 -999.000000 0.600000 340.000000 50.000000 0.000000 
0.002100 0.200000 0.044000 0.001800 26.000000 22.000000 2.900000 -999.000000 0.700000 230.000000 61.000000 -999.000000 
0.002400 0.200000 0.044000 0.002300 19.000000 -999.000000 2.200000 -999.000000 0.400000 0.000000 63.000000 -999.000000 
0.003300 0.300000 0.041000 0.003300 24.000000 22.000000 1.800000 -999.000000 2.000000 320.000000 68.000000 7.000000 
0.003500 0.300000 0.039000 0.004400 34.000000 30.000000 1.300000 -999.000000 0.500000 230.000000 69.000000 -999.000000 
0.003600 0.300000 0.039000 0.004000 45.000000 32.000000 0.900000 -999.000000 0.900000 290.000000 73.000000 -999.000000 
0.003400 0.300000 0.042000 0.002300 50.000000 28.000000 0.500000 -999.000000 1.000000 320.000000 76.000000 3.000000 
0.002700 0.300000 0.040000 0.003300 50.000000 32.000000 0.800000 -999.000000 1.000000 270.000000 74.000000 7.000000 
0.003300 0.300000 0.046000 0.001900 44.000000 34.000000 2.600000 -999.000000 1.600000 20.000000 65.000000 7.000000 
0.003000 0.200000 0.045000 0.001600 43.000000 26.000000 1.800000 -999.000000 1.000000 50.000000 69.000000 6.000000 
0.002700 0.200000 0.046000 0.001700 42.000000 26.000000 0.900000 -999.000000 0.500000 290.000000 78.000000 3.000000 
0.002500 0.200000 0.046000 0.001500 32.000000 22.000000 0.700000 -999.000000 0.800000 270.000000 81.000000 6.000000 
0.002500 0.200000 0.048000 0.002200 29.000000 20.000000 1.400000 -999.000000 0.500000 270.000000 77.000000 7.000000 
