SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.001100 0.500000 0.029000 0.003100 61.000000 -999.000000 -1.900000 -999.000000 0.700000 290.000000 92.000000 0.000000 
0.001100 0.500000 0.028000 0.003200 51.000000 -999.000000 -2.400000 -999.000000 1.100000 320.000000 93.000000 -999.000000 
0.001000 0.500000 0.029000 0.003100 57.000000 -999.000000 -2.800000 -999.000000 0.600000 200.000000 93.000000 -999.000000 
0.001000 0.500000 0.030000 0.003200 59.000000 -999.000000 -3.000000 -999.000000 0.900000 320.000000 94.000000 0.000000 
0.000900 -999.000000 0.030000 0.003000 55.000000 -999.000000 -3.200000 -999.000000 0.800000 320.000000 95.000000 0.000000 
0.000900 0.500000 0.030000 0.002900 58.000000 -999.000000 -3.600000 -999.000000 0.700000 340.000000 95.000000 0.000000 
0.000800 0.500000 0.030000 0.003000 62.000000 -999.000000 -3.900000 -999.000000 0.900000 320.000000 95.000000 0.000000 
0.000800 0.500000 0.030000 0.003400 62.000000 -999.000000 -3.700000 -999.000000 0.700000 320.000000 95.000000 8.000000 
0.001100 0.500000 0.029000 0.003600 61.000000 -999.000000 -3.200000 -999.000000 0.800000 320.000000 95.000000 7.000000 
0.001300 0.500000 0.029000 0.003400 58.000000 -999.000000 -2.500000 -999.000000 0.600000 320.000000 94.000000 8.000000 
0.001200 0.500000 0.030000 0.003100 55.000000 35.000000 -1.400000 -999.000000 0.400000 0.000000 93.000000 8.000000 
0.001100 0.400000 0.031000 0.002700 54.000000 35.000000 0.400000 -999.000000 0.300000 0.000000 88.000000 8.000000 
0.001000 0.400000 0.032000 0.002800 48.000000 27.000000 3.100000 -999.000000 1.500000 180.000000 73.000000 8.000000 
0.001000 0.400000 0.032000 0.002700 48.000000 23.000000 5.800000 -999.000000 1.400000 90.000000 62.000000 3.000000 
0.000900 0.400000 0.032000 0.002500 42.000000 25.000000 7.300000 -999.000000 1.100000 180.000000 56.000000 5.000000 
0.000900 0.400000 0.033000 0.002500 45.000000 27.000000 6.600000 -999.000000 3.300000 200.000000 54.000000 4.000000 
0.000800 0.400000 0.033000 0.002500 45.000000 21.000000 7.000000 -999.000000 1.000000 250.000000 54.000000 5.000000 
0.000800 0.400000 0.032000 0.002400 51.000000 19.000000 5.400000 -999.000000 1.500000 270.000000 60.000000 6.000000 
0.000800 0.400000 0.032000 0.002400 44.000000 21.000000 4.300000 -999.000000 1.200000 230.000000 66.000000 6.000000 
0.000700 0.400000 0.031000 0.002600 43.000000 23.000000 4.200000 -999.000000 0.500000 290.000000 67.000000 -999.000000 
0.000700 0.400000 0.027000 0.003100 44.000000 23.000000 4.100000 -999.000000 1.100000 180.000000 69.000000 -999.000000 
0.000600 0.400000 0.030000 0.002700 48.000000 31.000000 4.200000 -999.000000 1.900000 160.000000 70.000000 9.000000 
0.000600 0.400000 0.032000 0.002200 45.000000 25.000000 3.900000 -999.000000 0.200000 0.000000 72.000000 -999.000000 
0.000600 0.400000 0.033000 0.002300 41.000000 25.000000 3.900000 -999.000000 1.400000 160.000000 72.000000 -999.000000 
0.000600 0.400000 0.033000 0.002200 40.000000 21.000000 3.900000 -999.000000 1.500000 200.000000 73.000000 9.000000 
0.000500 0.400000 0.033000 0.002200 38.000000 21.000000 3.800000 -999.000000 1.100000 140.000000 73.000000 -999.000000 
0.000600 0.400000 0.033000 0.002300 45.000000 23.000000 3.700000 -999.000000 1.200000 200.000000 74.000000 -999.000000 
0.000500 0.400000 0.033000 0.002300 34.000000 21.000000 4.000000 -999.000000 0.900000 70.000000 73.000000 9.000000 
0.000500 -999.000000 0.032000 0.002200 37.000000 23.000000 3.900000 -999.000000 1.700000 110.000000 75.000000 9.000000 
0.000500 0.300000 0.032000 0.002200 39.000000 21.000000 3.500000 -999.000000 1.200000 110.000000 75.000000 8.000000 
0.000500 0.300000 0.032000 0.002200 34.000000 17.000000 2.800000 -999.000000 0.800000 110.000000 78.000000 5.000000 
0.000400 0.300000 0.028000 0.002800 38.000000 23.000000 2.300000 -999.000000 1.500000 110.000000 82.000000 0.000000 
0.000400 0.300000 0.024000 0.004200 38.000000 21.000000 2.100000 -999.000000 1.100000 180.000000 84.000000 4.000000 
0.000400 0.300000 0.020000 0.005500 44.000000 27.000000 3.000000 -999.000000 0.700000 110.000000 82.000000 3.000000 
0.000400 0.300000 0.027000 0.003500 49.000000 25.000000 6.200000 -999.000000 1.500000 160.000000 75.000000 3.000000 
0.000400 0.300000 0.031000 0.002300 36.000000 23.000000 7.600000 -999.000000 0.900000 160.000000 72.000000 4.000000 
0.000300 0.300000 0.032000 0.002400 37.000000 25.000000 10.400000 -999.000000 2.000000 230.000000 67.000000 5.000000 
0.000300 0.300000 0.031000 0.002400 32.000000 21.000000 11.600000 -999.000000 3.200000 200.000000 59.000000 4.000000 
0.000300 0.300000 0.032000 0.002400 32.000000 17.000000 11.900000 -999.000000 2.900000 270.000000 59.000000 6.000000 
0.000300 0.300000 0.030000 0.002800 34.000000 17.000000 11.700000 -999.000000 1.900000 250.000000 61.000000 5.000000 
0.000300 0.300000 0.026000 0.004600 31.000000 17.000000 11.500000 -999.000000 1.800000 230.000000 63.000000 3.000000 
