SO2 CO O3 NO2 PM10 PM2.5 T2 precip ws wd humid cl 
0.004800 0.300000 0.034000 0.003700 19.000000 16.000000 7.200000 -999.000000 4.500000 20.000000 60.000000 -999.000000 
0.005100 0.300000 0.035000 0.003600 19.000000 23.000000 6.100000 -999.000000 3.000000 70.000000 63.000000 -999.000000 
0.003600 0.300000 0.037000 0.002700 36.000000 15.000000 6.900000 -999.000000 5.300000 20.000000 60.000000 -999.000000 
0.003500 0.300000 0.037000 0.002700 36.000000 18.000000 6.500000 -999.000000 4.900000 20.000000 62.000000 -999.000000 
0.003700 0.300000 0.037000 0.002600 36.000000 19.000000 6.000000 -999.000000 4.300000 50.000000 63.000000 -999.000000 
0.003600 0.300000 0.037000 0.002700 36.000000 14.000000 5.700000 -999.000000 4.500000 70.000000 64.000000 -999.000000 
0.004900 0.300000 0.035000 0.003600 36.000000 13.000000 6.100000 -999.000000 4.600000 20.000000 65.000000 -999.000000 
0.004600 0.300000 0.034000 0.003600 36.000000 32.000000 6.200000 -999.000000 4.100000 20.000000 66.000000 -999.000000 
0.004400 0.300000 0.032000 0.003800 36.000000 20.000000 6.200000 -999.000000 3.900000 20.000000 66.000000 -999.000000 
0.004400 0.300000 0.034000 0.003600 30.000000 26.000000 7.200000 -999.000000 3.600000 360.000000 65.000000 -999.000000 
0.004100 0.300000 0.037000 0.003400 29.000000 25.000000 8.900000 -999.000000 4.300000 340.000000 60.000000 -999.000000 
0.004000 0.300000 0.039000 0.003200 34.000000 26.000000 8.900000 -999.000000 5.100000 320.000000 60.000000 -999.000000 
0.003800 0.300000 0.040000 0.003300 61.000000 24.000000 9.500000 -999.000000 4.200000 320.000000 58.000000 -999.000000 
0.003700 0.300000 0.042000 0.003300 74.000000 23.000000 9.900000 -999.000000 3.800000 320.000000 56.000000 -999.000000 
0.003600 0.300000 0.043000 0.003300 66.000000 22.000000 10.500000 -999.000000 4.400000 290.000000 56.000000 -999.000000 
0.003200 0.300000 0.045000 0.002900 58.000000 20.000000 9.800000 -999.000000 4.700000 290.000000 60.000000 -999.000000 
0.002900 0.200000 0.043000 0.003000 48.000000 18.000000 8.800000 -999.000000 4.600000 250.000000 56.000000 -999.000000 
0.003100 0.200000 0.042000 0.003300 28.000000 10.000000 8.600000 -999.000000 3.900000 270.000000 58.000000 -999.000000 
0.003100 0.200000 0.043000 0.003100 36.000000 16.000000 9.100000 -999.000000 3.400000 200.000000 58.000000 -999.000000 
0.002700 0.200000 0.044000 0.003000 36.000000 13.000000 9.600000 -999.000000 2.900000 230.000000 58.000000 -999.000000 
0.002600 0.200000 0.044000 0.002900 39.000000 13.000000 8.200000 -999.000000 3.100000 110.000000 63.000000 -999.000000 
0.002400 0.200000 0.042000 0.002800 35.000000 17.000000 8.100000 -999.000000 1.600000 110.000000 65.000000 -999.000000 
0.002400 0.200000 0.042000 0.002600 44.000000 15.000000 10.200000 -999.000000 2.200000 230.000000 56.000000 -999.000000 
0.002400 0.200000 0.041000 0.003000 39.000000 17.000000 10.400000 -999.000000 7.900000 250.000000 56.000000 -999.000000 
0.002400 0.300000 0.041000 0.003000 43.000000 13.000000 10.700000 -999.000000 6.000000 250.000000 58.000000 -999.000000 
0.002400 0.300000 0.040000 0.003000 40.000000 16.000000 10.800000 -999.000000 8.100000 270.000000 60.000000 -999.000000 
0.002700 0.300000 0.040000 0.003400 47.000000 19.000000 11.200000 -999.000000 7.200000 250.000000 58.000000 -999.000000 
0.002600 0.300000 0.041000 0.003300 39.000000 13.000000 11.500000 -999.000000 7.000000 250.000000 60.000000 -999.000000 
0.002700 0.300000 0.043000 0.003300 42.000000 21.000000 11.600000 -999.000000 6.300000 250.000000 61.000000 -999.000000 
0.002700 0.300000 0.044000 0.003400 37.000000 12.000000 11.800000 -999.000000 6.100000 250.000000 60.000000 -999.000000 
0.002800 0.300000 0.044000 0.003400 40.000000 16.000000 11.900000 -999.000000 4.300000 250.000000 61.000000 -999.000000 
0.003000 0.400000 0.044000 0.003900 48.000000 18.000000 12.200000 -999.000000 3.900000 250.000000 63.000000 -999.000000 
0.003400 0.400000 0.041000 0.004900 52.000000 31.000000 9.600000 -999.000000 3.500000 140.000000 70.000000 -999.000000 
0.003700 0.500000 0.041000 0.004900 65.000000 36.000000 10.200000 -999.000000 2.700000 140.000000 71.000000 -999.000000 
